day_of_year,hour,consumption
28,21,0.204037189
28,22,0.19447778
28,23,0.182154701
29,0,0.171780628
29,1,0.165036449
29,2,0.161468428
29,3,0.158508826
29,4,0.159457549
29,5,0.160323773
29,6,0.165830488
29,7,0.169037582
29,8,0.18079349
29,9,0.193065008
29,10,0.20127352
29,11,0.204985912
29,12,0.205068409
29,13,0.206635864
29,14,0.204429053
29,15,0.20118071
29,16,0.204965287
29,17,0.212173515
29,18,0.211977583
29,19,0.211018549
29,20,0.206048068
29,21,0.196498971
29,22,0.188548265
29,23,0.176957352
30,0,0.168057923
30,1,0.163149316
30,2,0.16096313
30,3,0.162200594
30,4,0.166830772
30,5,0.180391315
30,6,0.212194139
30,7,0.233983818
30,8,0.247833103
30,9,0.254329789
30,10,0.255773497
30,11,0.260661479
30,12,0.263177656
30,13,0.262837354
30,14,0.255474443
30,15,0.250720519
30,16,0.251174255
30,17,0.255639438
30,18,0.251318626
30,19,0.249792421
30,20,0.242470759
30,21,0.227012771
30,22,0.211410412
30,23,0.196901147
31,0,0.186857064
31,1,0.179772583
31,2,0.176977976
31,3,0.177204845
31,4,0.182330008
31,5,0.192198784
31,6,0.220206719
31,7,0.236221565
31,8,0.246451268
31,9,0.250442089
31,10,0.250029601
31,11,0.251421748
31,12,0.254319476
31,13,0.252927329
31,14,0.248689015
31,15,0.245719102
31,16,0.246801883
31,17,0.25255609
31,18,0.25025647
31,19,0.249348996
31,20,0.242460446
31,21,0.226878712
31,22,0.211647593
31,23,0.196839274
32,0,0.187063308
32,1,0.180051012
32,2,0.17633862
32,3,0.175204278
32,4,0.180288193
32,5,0.190342588
32,6,0.216917127
32,7,0.234757233
32,8,0.244027901
32,9,0.248874635
32,10,0.247152497
32,11,0.250184284
32,12,0.251854861
32,13,0.251277377
32,14,0.24646158
32,15,0.242718251
32,16,0.244502262
32,17,0.250452401
32,18,0.248235278
32,19,0.247709356
32,20,0.240263948
32,21,0.225053453
32,22,0.210049202
32,23,0.195581185
